nom_du_festival;envergure_territoriale;region_principale_de_deroulement;departement_principal_de_deroulement;commune_principale_de_deroulement;code_postal_de_la_commune_principale_de_deroulement;code_insee_commune;code_insee_epci_collage_en_valeur;libelle_epci_collage_en_valeur;numero_de_voie;type_de_voie_rue_avenue_boulevard_etc;nom_de_la_voie;adresse_postale;complement_d_adresse_facultatif;site_internet_du_festival;adresse_e_mail;decennie_de_creation_du_festival;annee_de_creation_du_festival;discipline_dominante;sous_categorie_spectacle_vivant;sous_categorie_musique;sous_categorie_musique_cnm;sous_categorie_cinema_et_audiovisuel;sous_categorie_arts_visuels_et_arts_numeriques;sous_categorie_livre_et_litterature;periode_principale_de_deroulement_du_festival;identifiant_agence_a;identifiant;identifiant_cnm;;;;;;;;;;;;;;;
Avoine Zone Groove;Intercommunale;Centre-Val de Loire;Indre-et-Loire;Avoine;37420;37011;200043081;CC Chinon, Vienne et Loire;;;;;;www.avoinezonegroove.fr;;De 2000 à 2009;2000;Musique;;Jazz, Blues;07- Musiques actuelles sans distinction;;;;Saison (21 juin - 5 septembre);;FEST_37011_550;333;;;;;;;;;;;;;;;
Festival des correspondances des arts;Départementale;Hauts-de-France;Aisne;Braine;2220;2110;240200501;CC du Val de l'Aisne;30;Place;Charles de Gaulle;30 Place Charles de Gaulle;;https://braine.fr/;correspondance-des-arts@braine.fr;2010 et après;2018;Pluridisciplinaire;;;;;;;Après-saison (6 septembre - 31 décembre);;FEST_02110_1021;;;;;;;;;;;;;;;;
Soirées d'automne - festival itinérant;;Provence-Alpes-Côte d'Azur;Vaucluse;Carpentras;84203;84031;248400053;CA Ventoux-Comtat-Venaissin (COVE);;;;;;www.soireesdautomne.com;info@passagersduzinc.com;2010 et après;;Musique;;;09- Pluridisciplinaire;;;;Après-saison (6 septembre - 31 décembre);;FEST_84031_1284;675;;;;;;;;;;;;;;;
Macki Music Festival;;Île-de-France;Yvelines;Carrières-sur-Seine;78420;78124;200058519;Saint-Germain Boucles de Seine;;;;;;https://www.mackimusicfestival.fr/;mackimusicfestival@gmail.com;2010 et après;2014;Musique;;Musiques du monde, Musiques traditionnelles, RnB, Musiques électroniques, techno, Hip-hop, rap, slam, Pop, rock, Jazz, blues, Musique contemporaine;02- Musiques amplifiées ou électroniques;;;;Saison (21 juin - 5 septembre);;FEST_78124_1288;1708;;;;;;;;;;;;;;;
Play mobile;;Île-de-France;Hauts-de-Seine;Chatillon;92320;92020;200057966;Vallée Sud Grand Paris (T2);;;;;;http://www.theatreachatillon.com/play-mobile.php;;2010 et après;01/01/2016 00:00;Spectacle vivant;Arts de la rue;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_92020_1579;;;;;;;;;;;;;;;;
Voyages en guitare;Intercommunale;Centre-Val de Loire;Indre-et-Loire;Chinon;37500;37072;200043081;CC Chinon, Vienne et Loire;;;;;;http://www.ville-chinon.com/vie-culturelle/festivals/voyages-en-guitare/;;2010 et après;2011;Musique;;Musique pluridisciplinaire;04- Musiques traditionnelles et du monde;;;;Après-saison (6 septembre - 31 décembre);;FEST_37072_1628;2387;;;;;;;;;;;;;;;
Jazz en Ville;;Île-de-France;Yvelines;Conflans-Sainte-Honorine;78700;78172;200059889;Grand Paris Seine & Oise;;;;;;www.jazzauconfluent.fr;;De 2000 à 2009;01/01/2004 00:00;Musique;;Musiques actuelles;03- Jazz, blues et musiques improvisées;;;;Avant-saison (1er janvier - 20 juin);;FEST_78172_1796;4571;;;;;;;;;;;;;;;
Semaine musicale d'Éourres;;Provence-Alpes-Côte d'Azur;Hautes-Alpes;Éourres;5300;5047;200068765;CC du Sisteronais-Buëch;;;;;;https://www.semainemusicale.com/;helene.richaud@yahoo.fr;;;Musique;;"Folk-rock ; jazz ; jazz manouche ; musique classique ; musique savante ; musiques des balkans ; musiques du monde ; musiques traditionnelles ; musiques traditionnelles europe centrale et est ; swing/middle jazz";;;;;Saison (21 juin - 5 septembre);;FEST_05047_2109;44.2138373403, 5.72894553965;;;;;;
Festisud;;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Eyguieres;13430;13035;200054807;Métropole d'Aix-Marseille-Provence;;;;;;eyguieres.org;communication@mairie-eyguieres.fr;;;Musique;;;;;;;Saison (21 juin - 5 septembre);;FEST_13035_2168;;;;;;;;;;;;;;;;
Les nuits d'Antibes;;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Juan-Les-Pins;6160;6004;240600585;CA de Sophia Antipolis;;;;;;www.antibesjuanlespins.com;accueil@antibesjuanlespins.com;De 2000 à 2009;;Spectacle vivant;"Arts de la piste ; chanson ; opéra ; théâtre";;;;;;;FEST_06004_2683;43.587465146, 7.10635418256;;;;;;;;;;;;;
Équinoxe;;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Lançon-de-Provence;13680;13051;200054807;Métropole d'Aix-Marseille-Provence;;;;;;;caramentran30@orange.fr;;;Spectacle vivant;Théâtre;;;;;;Avant-saison (1er janvier - 20 juin);;FEST_13051_2940;;;;;;;;;;;;;;;;
Musicalium festival;;Bourgogne-Franche-Comté;Saône-et-Loire;Le Creusot;71200;71153;247100290;CU Le Creusot Montceau-les-Mines;;;;;;https://fr-fr.facebook.com/events/243253119414906/;musicalium@orange.fr;2010 et après;2017;Musique;;;02- Musiques amplifiées ou électroniques;;;;Avant-saison (1er janvier - 20 juin);;FEST_71153_3068;3579;;;;;;;;;;;;;;;
D'la samba dans les épinards;;Normandie;Seine-Maritime;Maromme;76150;76410;200023414;Métropole Rouen Normandie;;;;;;https://www.dlasambadanslesepinards.com;agogofestival@gmail.com;2010 et après;2019;Musique;;;04- Musiques traditionnelles et du monde;;;;Saison (21 juin - 5 septembre);;FEST_76410_3674;5034;;;;;;;;;;;;;;;
Des mots des étoiles;;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Marseille;13008;13055;200054807;Métropole d'Aix-Marseille-Provence;550;Boulevard;Du prado;550 Boulevard Du prado;Parc borely;https://desmotsdesetoiles.fr;marseille@mcocongres.com;De 2000 à 2009;2003;Spectacle vivant;;;;;;;Saison (21 juin - 5 septembre);;FEST_13055_3705;;;;;;;;;;;;;;;;
