d,m,y,tide,wind speed m/s
1,1,1990,78,10
2,1,1990,74,13
3,1,1990,69,11
4,1,1990,63.5,7
5,1,1990,58,9
6,1,1990,56,11
7,1,1990,57,5
8,1,1990,61.5,8
9,1,1990,70,4
10,1,1990,79,8
11,1,1990,85.5,10
12,1,1990,89.5,10
13,1,1990,90.5,5
14,1,1990,87,9
15,1,1990,80.5,11
16,1,1990,71.5,7
17,1,1990,61.5,6
18,1,1990,51,4
19,1,1990,41.5,13
20,1,1990,35,11
21,1,1990,33,12
22,1,1990,35.5,15
23,1,1990,43.5,25
24,1,1990,53.5,18
25,1,1990,65,30
26,1,1990,75.5,25
27,1,1990,85,22
28,1,1990,92,17
29,1,1990,95.5,22
30,1,1990,94.5,27
31,1,1990,89,25
1,2,1990,80,31
2,2,1990,67.5,21
3,2,1990,54.5,31
4,2,1990,47,14
5,2,1990,45.5,12
6,2,1990,50.5,21
7,2,1990,62,25
8,2,1990,75,25
9,2,1990,85,13
10,2,1990,92,25
11,2,1990,94,32
12,2,1990,93,26
13,2,1990,87.5,24
14,2,1990,78.5,24
15,2,1990,68,23
16,2,1990,56,18
17,2,1990,43,14
18,2,1990,32.5,14
19,2,1990,28,15
20,2,1990,28,14
21,2,1990,37,11
22,2,1990,50.5,13
23,2,1990,66,8
24,2,1990,81.5,13
25,2,1990,95,19
26,2,1990,104,24
27,2,1990,108,26
28,2,1990,105.5,22
1,3,1990,97,18
2,3,1990,83,15
3,3,1990,65.5,6
4,3,1990,48.5,7
5,3,1990,40,6
6,3,1990,39.5,8
7,3,1990,48,7
8,3,1990,61.5,12
9,3,1990,74,12
10,3,1990,84.5,12
11,3,1990,91,8
12,3,1990,94,6
13,3,1990,92.5,13
14,3,1990,87.5,7
15,3,1990,80,7
16,3,1990,70,9
17,3,1990,58,9
18,3,1990,45.5,12
19,3,1990,34,12
20,3,1990,27.5,11
21,3,1990,29,9
22,3,1990,36.5,9
23,3,1990,52,9
24,3,1990,69.5,15
25,3,1990,86,14
26,3,1990,101,10
27,3,1990,110,6
28,3,1990,112.5,8
29,3,1990,107.5,11
30,3,1990,95.5,13
31,3,1990,79.5,17
1,4,1990,61.5,13
2,4,1990,46,11
3,4,1990,40,14
4,4,1990,40.5,10
5,4,1990,49.5,11
6,4,1990,61,18
7,4,1990,71.5,17
8,4,1990,80,20
9,4,1990,85,17
10,4,1990,87.5,12
11,4,1990,86.5,12
12,4,1990,82.5,12
13,4,1990,76.5,15
14,4,1990,68,22
15,4,1990,58.5,16
16,4,1990,48,15
17,4,1990,38,15
18,4,1990,33.5,12
19,4,1990,35,19
20,4,1990,41.5,18
21,4,1990,55,10
22,4,1990,72,11
23,4,1990,87.5,11
24,4,1990,99.5,12
25,4,1990,107,12
26,4,1990,107.5,11
27,4,1990,101.5,7
28,4,1990,90.5,8
29,4,1990,76,14
30,4,1990,61,12
1,5,1990,50,8
2,5,1990,45,6
3,5,1990,46,9
4,5,1990,50.5,9
5,5,1990,58,8
6,5,1990,65,8
7,5,1990,71,10
8,5,1990,75,10
9,5,1990,77.5,9
10,5,1990,77.5,11
11,5,1990,75.5,9
12,5,1990,72,11
13,5,1990,66.5,8
14,5,1990,60.5,9
15,5,1990,53.5,13
16,5,1990,47.5,10
17,5,1990,44.5,13
18,5,1990,46.5,12
19,5,1990,52,8
20,5,1990,59,9
21,5,1990,71,8
22,5,1990,82,9
23,5,1990,91,10
24,5,1990,96.5,9
25,5,1990,97.5,11
26,5,1990,94.5,11
27,5,1990,87,10
28,5,1990,77.5,7
29,5,1990,67.5,6
30,5,1990,58,8
31,5,1990,52,10
1,6,1990,50,11
2,6,1990,49,14
3,6,1990,51,11
4,6,1990,54,14
5,6,1990,59,12
6,6,1990,63,14
7,6,1990,67,10
8,6,1990,69.5,13
9,6,1990,71,13
10,6,1990,71,6
11,6,1990,70.5,11
12,6,1990,67.5,10
13,6,1990,64,10
14,6,1990,60.5,8
15,6,1990,57.5,8
16,6,1990,57,7
17,6,1990,58,11
18,6,1990,61,15
19,6,1990,64.5,10
20,6,1990,72,16
